=== wperm=0 decode_nt=0
# gfx CUs=32 torch=2.12.0+git6bbd260 wperm=0 iters=120 LDS_CAP=39321 MAX_SKINNY=5
shape                       N      K  M |  w4a16 us   GB/s path     |  mxfp4 us   GB/s | ratio
gdn in_proj_qkvz        16384   5120  1 |      90.8    491 skinny   |      63.0    708 |  1.44x  (median   173.6   172.9 1.00x)
gdn in_proj_qkvz        16384   5120  2 |      95.8    465 skinny   |      75.0    594 |  1.28x  (median   223.9   174.0 1.29x)
gdn in_proj_qkvz        16384   5120  3 |      99.2    449 skinny   |      76.7    581 |  1.29x  (median   183.9   173.1 1.06x)
gdn in_proj_qkvz        16384   5120  4 |      89.0    500 skinny   |      77.2    578 |  1.15x  (median   194.8   178.6 1.09x)
gdn in_proj_qkvz        16384   5120  5 |      98.4    453 skinny   |      89.5    498 |  1.10x  (median   240.1   179.2 1.34x)
gdn/attn out_proj        5120   6144  1 |      38.3    437 skinny   |      37.4    447 |  1.02x  (median    69.9    82.2 0.85x)
gdn/attn out_proj        5120   6144  2 |      41.8    400 skinny   |      39.2    427 |  1.07x  (median    69.9    83.0 0.84x)
gdn/attn out_proj        5120   6144  3 |      43.0    388 skinny   |      39.4    424 |  1.09x  (median    79.1    94.2 0.84x)
gdn/attn out_proj        5120   6144  4 |      47.2    354 skinny   |      53.0    315 |  0.89x  (median    93.2    89.9 1.04x)
gdn/attn out_proj        5120   6144  5 |      49.1    340 skinny   |      39.3    425 |  1.25x  (median    94.3    86.3 1.09x)
mlp gate_up             34816   5120  1 |     193.2    490 skinny   |     495.2    191 |  0.39x  (median   272.3   594.3 0.46x)
mlp gate_up             34816   5120  2 |     181.8    521 skinny   |     504.6    188 |  0.36x  (median   328.3   605.3 0.54x)
mlp gate_up             34816   5120  3 |     198.4    477 skinny   |     500.6    189 |  0.40x  (median   343.5   596.5 0.58x)
mlp gate_up             34816   5120  4 |     248.4    381 skinny   |     509.7    186 |  0.49x  (median   359.8   602.6 0.60x)
mlp gate_up             34816   5120  5 |     209.9    451 skinny   |     497.2    191 |  0.42x  (median   365.7   608.8 0.60x)
mlp down                 5120  17408  1 |     109.6    432 skinny   |      86.6    547 |  1.27x  (median   155.9   145.6 1.07x)
mlp down                 5120  17408  2 |     128.2    369 skinny   |      84.3    562 |  1.52x  (median   209.9   139.7 1.50x)
mlp down                 5120  17408  3 |     325.8    145 triton   |      73.9    641 |  4.41x  (median   403.2   136.4 2.96x)
mlp down                 5120  17408  4 |     323.4    146 triton   |      74.7    634 |  4.33x  (median   396.8   140.4 2.83x)
mlp down                 5120  17408  5 |     327.3    145 triton   |      76.4    619 |  4.28x  (median   386.2   143.3 2.70x)
attn qkv                14336   5120  1 |      90.2    432 skinny   |      78.0    500 |  1.16x  (median   140.2   166.3 0.84x)
attn qkv                14336   5120  2 |      89.9    434 skinny   |      79.8    489 |  1.13x  (median   163.7   165.5 0.99x)
attn qkv                14336   5120  3 |      90.7    430 skinny   |      77.5    503 |  1.17x  (median   164.3   136.7 1.20x)
attn qkv                14336   5120  4 |      95.1    410 skinny   |      76.3    511 |  1.25x  (median   220.0   174.7 1.26x)
attn qkv                14336   5120  5 |     102.9    379 skinny   |      75.9    514 |  1.36x  (median   188.6   163.4 1.15x)
=== wperm=1 decode_nt=0
# gfx CUs=32 torch=2.12.0+git6bbd260 wperm=1 iters=120 LDS_CAP=39321 MAX_SKINNY=5
shape                       N      K  M |  w4a16 us   GB/s path     |  mxfp4 us   GB/s | ratio
gdn in_proj_qkvz        16384   5120  1 |      98.6    452 skinny   |     108.6    411 |  0.91x  (median   160.7   190.7 0.84x)
gdn in_proj_qkvz        16384   5120  2 |     102.2    436 skinny   |     108.6    411 |  0.94x  (median   170.0   160.2 1.06x)
gdn in_proj_qkvz        16384   5120  3 |     106.2    420 skinny   |     108.6    410 |  0.98x  (median   158.0   176.7 0.89x)
gdn in_proj_qkvz        16384   5120  4 |     114.8    388 skinny   |     113.8    392 |  1.01x  (median   191.7   210.2 0.91x)
gdn in_proj_qkvz        16384   5120  5 |     142.2    313 skinny   |     103.0    433 |  1.38x  (median   201.2   213.2 0.94x)
gdn/attn out_proj        5120   6144  1 |      45.6    366 skinny   |      48.6    344 |  0.94x  (median    84.3   115.2 0.73x)
gdn/attn out_proj        5120   6144  2 |      57.9    289 skinny   |      71.2    235 |  0.81x  (median    88.0   115.7 0.76x)
gdn/attn out_proj        5120   6144  3 |      58.7    285 skinny   |      58.8    284 |  1.00x  (median    97.5   117.4 0.83x)
gdn/attn out_proj        5120   6144  4 |      74.8    223 skinny   |      56.5    296 |  1.32x  (median   113.9   122.6 0.93x)
gdn/attn out_proj        5120   6144  5 |      66.0    253 skinny   |      70.3    238 |  0.94x  (median   117.7   110.3 1.07x)
mlp gate_up             34816   5120  1 |     208.2    455 skinny   |     497.6    190 |  0.42x  (median   297.2   585.6 0.51x)
mlp gate_up             34816   5120  2 |     195.0    486 skinny   |     488.1    194 |  0.40x  (median   329.7   591.2 0.56x)
mlp gate_up             34816   5120  3 |     170.2    557 skinny   |     490.4    193 |  0.35x  (median   342.7   594.5 0.58x)
mlp gate_up             34816   5120  4 |     202.2    468 skinny   |     483.3    196 |  0.42x  (median   360.2   591.1 0.61x)
mlp gate_up             34816   5120  5 |     232.1    408 skinny   |     496.5    191 |  0.47x  (median   363.3   597.1 0.61x)
mlp down                 5120  17408  1 |     104.4    454 skinny   |      67.1    706 |  1.56x  (median   168.5   178.7 0.94x)
mlp down                 5120  17408  2 |     126.3    375 skinny   |      86.3    549 |  1.46x  (median   209.7   189.0 1.11x)
mlp down                 5120  17408  3 |     303.5    156 triton   |      72.7    651 |  4.17x  (median   390.9   172.7 2.26x)
mlp down                 5120  17408  4 |     311.5    152 triton   |      71.4    663 |  4.36x  (median   409.2   179.3 2.28x)
mlp down                 5120  17408  5 |     313.0    151 triton   |      75.2    630 |  4.16x  (median   421.6   190.6 2.21x)
attn qkv                14336   5120  1 |      88.2    442 skinny   |      78.6    496 |  1.12x  (median   126.1   181.1 0.70x)
attn qkv                14336   5120  2 |      88.7    440 skinny   |      81.5    479 |  1.09x  (median   196.8   183.5 1.07x)
attn qkv                14336   5120  3 |      75.7    515 skinny   |      92.0    424 |  0.82x  (median   157.4   184.5 0.85x)
attn qkv                14336   5120  4 |      88.3    442 skinny   |      79.7    490 |  1.11x  (median   181.9   179.9 1.01x)
attn qkv                14336   5120  5 |      84.6    461 skinny   |      82.0    476 |  1.03x  (median   167.9   184.9 0.91x)
=== wperm=1 decode_nt=1
# gfx CUs=32 torch=2.12.0+git6bbd260 wperm=1 iters=120 LDS_CAP=39321 MAX_SKINNY=5
shape                       N      K  M |  w4a16 us   GB/s path     |  mxfp4 us   GB/s | ratio
gdn in_proj_qkvz        16384   5120  1 |      99.4    448 skinny   |     119.9    372 |  0.83x  (median   152.8   197.1 0.78x)
gdn in_proj_qkvz        16384   5120  2 |     103.4    431 skinny   |     138.3    322 |  0.75x  (median   166.9   202.1 0.83x)
gdn in_proj_qkvz        16384   5120  3 |     108.0    413 skinny   |     137.7    324 |  0.78x  (median   170.2   227.6 0.75x)
gdn in_proj_qkvz        16384   5120  4 |     117.0    381 skinny   |     130.9    341 |  0.89x  (median   181.9   218.0 0.83x)
gdn in_proj_qkvz        16384   5120  5 |     120.1    371 skinny   |     106.4    419 |  1.13x  (median   188.1   202.7 0.93x)
gdn/attn out_proj        5120   6144  1 |      38.9    430 skinny   |      52.7    317 |  0.74x  (median    70.4   106.3 0.66x)
gdn/attn out_proj        5120   6144  2 |      44.4    376 skinny   |      54.2    308 |  0.82x  (median    80.9   107.2 0.76x)
gdn/attn out_proj        5120   6144  3 |      49.3    339 skinny   |      54.8    305 |  0.90x  (median    82.5   108.0 0.76x)
gdn/attn out_proj        5120   6144  4 |      50.0    334 skinny   |      51.1    327 |  0.98x  (median    85.2   111.4 0.76x)
gdn/attn out_proj        5120   6144  5 |      52.6    318 skinny   |      66.3    252 |  0.79x  (median    94.8   111.9 0.85x)
mlp gate_up             34816   5120  1 |     174.3    543 skinny   |     473.0    200 |  0.37x  (median   297.0   590.3 0.50x)
mlp gate_up             34816   5120  2 |     202.8    467 skinny   |     489.5    194 |  0.41x  (median   323.3   591.4 0.55x)
mlp gate_up             34816   5120  3 |     184.8    512 skinny   |     486.0    195 |  0.38x  (median   323.8   587.9 0.55x)
mlp gate_up             34816   5120  4 |     219.9    431 skinny   |     473.6    200 |  0.46x  (median   361.6   580.1 0.62x)
mlp gate_up             34816   5120  5 |     201.6    470 skinny   |     484.7    195 |  0.42x  (median   380.8   581.7 0.65x)
mlp down                 5120  17408  1 |      91.2    519 skinny   |      98.1    483 |  0.93x  (median   172.1   208.4 0.83x)
mlp down                 5120  17408  2 |     109.4    433 skinny   |      95.8    494 |  1.14x  (median   196.4   207.6 0.95x)
mlp down                 5120  17408  3 |     317.9    149 triton   |     100.8    470 |  3.16x  (median   476.4   217.1 2.19x)
mlp down                 5120  17408  4 |     319.6    148 triton   |      99.5    476 |  3.21x  (median   459.0   218.7 2.10x)
mlp down                 5120  17408  5 |     310.0    153 triton   |      94.7    500 |  3.27x  (median   425.7   219.3 1.94x)
attn qkv                14336   5120  1 |      78.8    495 skinny   |      93.7    416 |  0.84x  (median   146.5   202.7 0.72x)
attn qkv                14336   5120  2 |      88.9    439 skinny   |      80.6    484 |  1.10x  (median   176.1   202.4 0.87x)
attn qkv                14336   5120  3 |      91.2    428 skinny   |     101.1    386 |  0.90x  (median   175.1   196.8 0.89x)
attn qkv                14336   5120  4 |     109.4    356 skinny   |      97.8    399 |  1.12x  (median   169.5   191.5 0.88x)
attn qkv                14336   5120  5 |      95.6    408 skinny   |      98.1    398 |  0.97x  (median   176.5   211.9 0.83x)
