# gfx CUs=32 torch=2.12.0+git6bbd260 wperm=0 iters=120 LDS_CAP=39321 MAX_SKINNY=5
shape                       N      K  M |  w4a16 us   GB/s path     |  mxfp4 us   GB/s | ratio
gdn in_proj_qkvz        16384   5120  1 |     104.0    429 skinny   |     111.6    399 |  0.93x  (median   156.9   147.5 1.06x)
gdn in_proj_qkvz        16384   5120  2 |     118.8    375 skinny   |      85.0    524 |  1.40x  (median   169.4   164.0 1.03x)
gdn in_proj_qkvz        16384   5120  3 |     109.1    409 skinny   |     110.4    404 |  0.99x  (median   164.9   155.7 1.06x)
gdn in_proj_qkvz        16384   5120  4 |     118.9    375 skinny   |     111.6    399 |  1.07x  (median   184.0   174.2 1.06x)
gdn in_proj_qkvz        16384   5120  5 |     122.5    364 skinny   |     112.8    395 |  1.09x  (median   203.8   157.1 1.30x)
gdn/attn out_proj        5120   6144  1 |      44.0    379 skinny   |      60.3    277 |  0.73x  (median    79.2   111.8 0.71x)
gdn/attn out_proj        5120   6144  2 |      58.4    286 skinny   |      59.9    279 |  0.98x  (median    92.3   118.8 0.78x)
gdn/attn out_proj        5120   6144  3 |      74.2    225 skinny   |      57.1    293 |  1.30x  (median   105.8   128.9 0.82x)
gdn/attn out_proj        5120   6144  4 |      67.0    249 skinny   |      65.8    254 |  1.02x  (median   107.7   113.9 0.95x)
gdn/attn out_proj        5120   6144  5 |      73.7    227 skinny   |      64.7    258 |  1.14x  (median   109.4   113.4 0.97x)
mlp gate_up             34816   5120  1 |     211.1    449 skinny   |     530.3    179 |  0.40x  (median   279.0   588.8 0.47x)
mlp gate_up             34816   5120  2 |     211.3    448 skinny   |     529.9    179 |  0.40x  (median   297.6   595.3 0.50x)
mlp gate_up             34816   5120  3 |     218.2    434 skinny   |     559.0    169 |  0.39x  (median   320.3   591.8 0.54x)
mlp gate_up             34816   5120  4 |     224.7    421 skinny   |     552.7    171 |  0.41x  (median   348.8   595.1 0.59x)
mlp gate_up             34816   5120  5 |     229.0    413 skinny   |     528.5    179 |  0.43x  (median   332.5   593.7 0.56x)
mlp gate (half)         17408   5120  1 |     108.0    438 skinny   |      73.0    649 |  1.48x  (median   153.4   161.1 0.95x)
mlp gate (half)         17408   5120  2 |     110.8    427 skinny   |     103.6    457 |  1.07x  (median   168.0   145.6 1.15x)
mlp gate (half)         17408   5120  3 |     119.1    398 skinny   |     106.5    445 |  1.12x  (median   181.1   170.8 1.06x)
mlp gate (half)         17408   5120  4 |     127.3    372 skinny   |     107.0    443 |  1.19x  (median   197.5   151.3 1.31x)
mlp gate (half)         17408   5120  5 |     135.2    350 skinny   |     113.3    418 |  1.19x  (median   224.4   186.1 1.21x)
mlp down                 5120  17408  1 |     109.6    432 skinny   |     104.9    452 |  1.05x  (median   159.2   166.3 0.96x)
mlp down                 5120  17408  2 |     133.9    354 skinny   |     110.7    428 |  1.21x  (median   196.6   162.0 1.21x)
mlp down                 5120  17408  3 |     300.2    158 triton   |     116.3    407 |  2.58x  (median   401.1   177.4 2.26x)
mlp down                 5120  17408  4 |     308.8    153 triton   |     113.2    418 |  2.73x  (median   389.0   179.8 2.16x)
mlp down                 5120  17408  5 |     296.2    160 triton   |     112.9    419 |  2.62x  (median   374.8   177.6 2.11x)
attn qkv                14336   5120  1 |     100.7    387 skinny   |      95.1    410 |  1.06x  (median   140.9   175.4 0.80x)
attn qkv                14336   5120  2 |     121.4    321 skinny   |      90.7    430 |  1.34x  (median   161.5   189.3 0.85x)
attn qkv                14336   5120  3 |      93.1    419 skinny   |      75.6    516 |  1.23x  (median   147.8   163.6 0.90x)
attn qkv                14336   5120  4 |     100.4    389 skinny   |     100.8    387 |  1.00x  (median   159.3   173.8 0.92x)
attn qkv                14336   5120  5 |     104.5    373 skinny   |      88.2    442 |  1.18x  (median   165.0   166.5 0.99x)
